表32　現有正式員額統計,,,,,Table 32. Statistics of Current Personnel,,,,,,,
單位：人,,,,,,,, End of 2003 - 2023,,,,"
Unit：Persons"
機　關　別,總　　計,警　　察　　官,,,Policeman,,一般行政及技術人員,,General Administration and Technical Staff,,,聘　　用
,,計,警監,警正,警佐,警佐待遇,計,簡任,薦任,委任,雇用,
總　　計,"72,840","68,724",342,"38,135","29,865",382,"4,085",9,"1,877","2,155",44,31
　新北市,"7,558","7,313",32,"3,114","4,125",42,245,         －,121,123,1,         －
　臺北市,"7,823","7,365",30,"3,799","3,499",37,458,         －,151,300,7,         －
　桃園市,"4,868","4,687",22,"2,146","2,493",26,181,         －,94,87,         －,         －
　臺中市,"6,583","6,334",29,"3,751","2,519",35,249,         －,114,134,1,         －
　臺南市,"4,374","4,159",31,"2,435","1,683",10,215,         －,95,118,2,         －
　高雄市,"7,135","6,774",33,"4,060","2,634",47,361,         －,154,202,5,         －
　宜蘭縣,"1,295","1,237",3,630,590,14,58,         －,18,40,         －,         －
　新竹縣,"1,105","1,054",3,453,592,6,51,         －,18,31,2,         －
　苗栗縣,"1,268","1,207",3,585,614,5,61,         －,27,34,         －,         －
　彰化縣,"2,830","2,744",3,"1,402","1,328",11,86,         －,46,39,1,         －
　南投縣,"1,448","1,380",3,855,515,7,68,         －,32,36,         －,         －
　雲林縣,"1,561","1,492",3,893,595,1,69,         －,34,34,1,         －
　嘉義縣,"1,349","1,285",3,738,541,3,64,         －,30,34,         －,         －
　屏東縣,"1,963","1,870",3,948,909,10,93,         －,38,54,1,         －
　臺東縣,"1,030",985,3,516,461,5,45,         －,20,24,1,         －
　花蓮縣,"1,259","1,217",3,558,644,12,42,         －,18,24,         －,         －
　澎湖縣,743,694,3,537,153,1,49,         －,19,30,         －,         －
　基隆市,"1,119","1,056",3,569,479,5,63,         －,26,37,         －,         －
　新竹市,991,936,3,484,447,2,55,         －,21,33,1,         －
　嘉義市,819,764,3,478,279,4,55,         －,19,34,2,         －
　金門縣,342,331,2,235,93,1,11,         －,6,5,         －,         －
　連江縣,80,77,2,48,27,         －,3,         －,2,1,         －,         －
　警政署,580,390,66,324,         －,         －,190,5,109,75,1,         －
　刑事警察局,"1,038",975,11,925,39,         －,63,1,31,31,         －,         －
　航空警察局,"1,758","1,659",4,"1,093",555,7,99,         －,44,55,         －,         －
　國道公路警察局,"1,391","1,352",5,652,687,8,39,         －,19,20,         －,         －
　鐵路警察局,791,778,3,390,385,         －,13,         －,8,5,         －,         －
　保安警察第一總隊,"1,585","1,522",4,851,651,16,63,         －,23,36,4,         －
　保安警察第二總隊,"1,048",996,3,642,333,18,52,         －,16,36,         －,         －
　保安警察第三總隊,650,613,3,418,186,6,37,         －,19,18,         －,         －
　保安警察第四總隊,758,719,3,375,337,4,39,         －,19,19,1,         －
　保安警察第五總隊,"1,264","1,202",3,664,519,16,62,         －,31,26,5,         －
　保安警察第六總隊,"1,286","1,252",3,957,283,9,34,         －,14,20,         －,         －
　保安警察第七總隊,917,887,3,657,219,8,30,         －,18,12,         －,         －
　基隆港務警察總隊,401,373,1,218,150,4,28,         －,10,18,         －,         －
　臺中港務警察總隊,236,216,1,133,82,         －,20,         －,13,7,         －,         －
　高雄港務警察總隊,542,492,1,308,182,1,50,         －,27,22,1,         －
　花蓮港務警察總隊,133,121,1,88,32,         －,12,         －,6,5,1,         －
　警察通訊所,465,17,1,16,         －,         －,448,         －,243,200,5,         －
　民防指揮管制所,77,18,         －,18,         －,         －,59,1,40,18,         －,         －
　警察廣播電臺,86,1,         －,1,         －,         －,85,1,56,28,         －,         －
　警察機械修理廠,29,3,         －,3,         －,         －,26,1,10,15,         －,         －
　臺灣警察專科學校,262,177,3,168,5,1,54,         －,18,35,1,31
,,,,,,,,,,,,
資料來源：本署人事室。,,,,,"Source:Personnel Office, National Police Agency.",,,,,,,
