表3　竊盜統計(續),,,,,,,,Table 3. Larceny Statistics (Cont.),,,,,,,
,,,,,,,,,,,,,,,
單位：件、%,,,,,,,,,,,,,,"Unit:Cases,%",
機關別,總          計,,,重     大     竊     盜,,,普通竊盜,,,汽車竊盜,,,機車竊盜,,
,發生數,破獲數,破獲率,發生數,破獲數,破獲率,發生數,破獲數,破獲率,發生數,破獲數,破獲率,發生數,破獲數,破獲率
新北市,"6,031","6,030",99.98,5,5,100.00,"5,027","5,037",100.20,142,140,98.59,857,848,98.95
臺北市,"4,617","4,689",101.56,3,3,100.00,"4,379","4,396",100.39,27,27,100.00,208,263,126.44
桃園市,"2,831","2,874",101.52,1,2,200.00,"2,175","2,188",100.60,106,117,110.38,549,567,103.28
臺中市,"3,493","3,528",101.00,        －,        －,    －,"2,922","2,935",100.44,82,89,108.54,489,504,103.07
臺南市,"3,819","3,663",95.92,5,5,100.00,"3,589","3,432",95.63,36,34,94.44,189,192,101.59
高雄市,"3,393","3,408",100.44,        －,        －,    －,"2,891","2,882",99.69,43,47,109.30,459,479,104.36
宜蘭縣,935,912,97.54,        －,        －,    －,854,842,98.59,13,13,100.00,68,57,83.82
新竹縣,857,835,97.43,1,1,100.00,646,638,98.76,71,66,92.96,139,130,93.53
苗栗縣,"1,302","1,226",94.16,1,1,100.00,"1,189","1,121",94.28,27,24,88.89,85,80,94.12
彰化縣,"2,340","2,360",100.85,        －,        －,    －,"2,124","2,152",101.32,49,45,91.84,167,163,97.60
南投縣,918,873,95.10,        －,        －,    －,766,759,99.09,30,25,83.33,122,89,72.95
雲林縣,"1,243","1,182",95.09,        －,        －,    －,"1,110","1,050",94.59,27,24,88.89,106,108,101.89
嘉義縣,875,877,100.23,1,1,100.00,805,814,101.12,12,15,125.00,57,47,82.46
屏東縣,904,869,96.13,        －,        －,    －,700,680,97.14,51,40,78.43,153,149,97.39
臺東縣,503,479,95.23,        －,        －,    －,415,391,94.22,21,20,95.24,67,68,101.49
花蓮縣,790,750,94.94,        －,        －,    －,705,677,96.03,12,7,58.33,73,66,90.41
澎湖縣,150,136,90.67,        －,        －,    －,136,122,89.71,4,4,100.00,10,10,100.00
基隆市,918,840,91.50,        －,        －,    －,818,755,92.30,18,11,61.11,82,74,90.24
新竹市,879,826,93.97,        －,        －,    －,722,705,97.65,20,8,40.00,137,113,82.48
嘉義市,699,674,96.42,        －,        －,    －,681,655,96.18,3,3,100.00,15,16,106.67
金門縣,104,92,88.46,1,1,100.00,93,81,87.10,3,3,100.00,7,7,100.00
連江縣,16,14,87.50,        －,        －,    －,12,9,75.00,        －,        －,    －,4,5,125.00
署所屬機關,722,565,    －,1,1,    －,706,538,    －,6,11,    －,9,15,    －
資料來源：各級警察機關偵辦刑案紀錄表。,,,,,,,,Source: The Record of Criminal Cases Investigated and Prosecuted by All Police Organizations.,,,,,,,
"附　　註：(1)重大竊盜定義自105年3月24日起，失竊物金額總價值由50萬元提高至100萬
　　　　　元以上之竊案，並刪除竊盜保險箱、櫃內之財務總值10萬元以上竊案。",,,,,,,,"Annotation:(1)From March 24, 2016, the serious larceny is redefined as follows: the total estimated losses are raised from NTD
500,000 to 1,000,000,while the total estimated losses above NTD 100,000 on safe thefts are excluded.",,,,,,,
